index,title,temp,time,summary,link
326,,전북 농림어업 고령자 비율 늘어…‘전체 48% 차지’,1시간전,[KBS 전주] 전북 농림어업 종사자의 고령 인구 비율이 늘고 있습니다. 호남지방통계청에 따르면 지난해 기준 전북 농민 가운데 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852920
327,,“논이 바다같이 보였다”…2시간 만에 침수·농경지 840ha 피해,1시간전,"[KBS 전주] [앵커] 지난 주말 내린 폭우로 전북지역 농경지 곳곳이 침수 피해를 입었습니다. 새벽 시간대, 갑자기 쏟아진  …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852919
328,,"우당도서관, 대한민국 독서대전 사진·일러스트 공모전 입상작 선정",1시간전,사진=허균(서울)의 ‘수불석권 하겠습니다!’ 일러스트=‘일상 더하기 책은 상상’ [현창민 기자(=제주)(pressianjeju@ …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=002&aid=0002138142
329,,[날씨] 내일도 낮 기온 오늘과 비슷…동해안 폭염 누그러져,1시간전,"맑은 날씨 속, 볕이 강하게 내리쬔 하루였습니다. 특히 서풍이 태백 산맥을 넘으며 뜨거워져 동쪽 지역의 낮 기온이 크게 올라  …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852918
330,,흙탕 범벅된 수박…수확 앞두고 ‘망연자실’,1시간전,"[KBS 전주] [앵커] 지난 주말 많은 비가 올 거라고 예보는 됐지만, 예상했던 것보다 피해가 컸습니다. 코로나19로 일손이 …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852917
331,,THAILAND PANDEMIC CORANAVIRUS COVID19,1시간전,Amusement park reopens as lockdown measures are eased in Thailand A wor …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067994
332,,옛 한국유리 터에 ‘초고층 레지던스’?…벌써 난개발 논란,1시간전,[KBS 부산] [앵커] 공공기여를 조건으로 땅 용도를 변경해 도심 유휴지를 개발하도록 하는 '사전협상제'와 관련해 KBS는  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852914
333,,‘민간 특혜’ 논란에 ‘주민 반발’까지…사전협상제 취지 무색,1시간전,[KBS 부산] [앵커] 이처럼 도시기본계획인 해양관광문화지구가 주거단지화될 가능성에 대해 '사전협상제'의 본 취지와 달리 이 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=056&aid=0010852913
334,,여야 대치에 '코로나 3차 추경' 스톱…'19일' 시한 제시,1시간전,21대 국회가 15일 더불어민주당의 6개 상임위 위원장 선출과 미래통합당 위원 임의배정으로 파행을 맞았다. 신종 코로나바이러스  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=015&aid=0004360893
335,,'서울역 여성 폭행' 30대 구속영장 또 기각…“여성혐오 범죄 아냐”,1시간전,[경향신문]  서울역에서 처음 보는 여성을 이유 없이 폭행한 혐의로 검거된 30대 남성에 대해 청구된 두 번째 구속영장이 법원에 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=032&aid=0003015033
336,,Nissan Rogue,1시간전,This photo provided by Nissan shows the 2021 Nissan Rogue. (Courtesy of …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0004839873
337,,Religion Muslim Police Reform,1시간전,"Kameelah Rashad FILE - In this Jan. 13, 2015 file photo, Kameelah Rasha …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0004839872
338,,APTOPIX Trump Birthday Florida,1시간전,Hundreds of boats idle through downtown on the St. Johns River during a …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0004839871
339,,Nissan Rogue,1시간전,This photo provided by Nissan shows part of the interior of the 2021 Ni …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0004839870
340,,Nissan Rogue,1시간전,This photo provided by Nissan shows part of the interior of the 2021 Ni …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=077&aid=0004839869
341,,"경남도, 출장 여비 부정 수령 공무원 10명 고발 조치",1시간전,[경남CBS 최호영 기자] 경상남도는 출장 여비를 부정으로 수령한 농업기술원공무원 10명을 경찰에 고발했다. 도는 지난 4월 농 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=079&aid=0003372335
342,,"""취재 목적이었다"" 변명 안통했다 …MBC, '박사방' 가입 기자 해고",1시간전,성 착취물이 유통된 텔레그램 ‘박사방’에 유료회원으로 가입을 시도하려던 MBC 기자가 결국 해고를 피할 수 없게 됐다. MBC는 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=015&aid=0004360892
343,,"“아이돌 굿즈 살 돈 빌려드려요, 대신 수고비로 40% 더 주세요”",1시간전,[경향신문] 지난해 인터넷 불법 금융광고 적발 건수가 1년 전보다 37.4% 증가한 것으로 나타났다. 소비자들이 불법 여부를 알 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=032&aid=0003015038
344,,코로나 재확산 우려·대북 리스크에 코스피 ‘출렁’,1시간전,[경향신문]   미국과 중국 등지에서 코로나19 2차 대유행 우려가 커지면서 15일 유가증권시장 지수가 급락하며 시가총액이 하루 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=032&aid=0003015037
345,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? A woman walks past a yellow raincoat taped  …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067991
346,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? Pro-democracy activists chant slogans durin …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067990
347,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? Pro-democracy activists chant slogans durin …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067989
348,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? Pro-democracy activists chant slogans durin …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067988
349,,'슈퍼여당' 폭주에… 사퇴카드 던진 주호영 “일당독재 시작”,1시간전,"與, 6개 상임위원장 강행 처리 / 주 “민주주의 파괴 못 막아낸 책임질 것” / 이종배 정책위의장과 함께 사의표명 / 여 “민 …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=022&aid=0003475088
350,,"巨與, 법사위장 등 6개 상임위원장 단독 선출…주호영 “사퇴” 극한 대치",1시간전,더불어민주당이 15일 제1야당인 미래통합당을 배제하고 국회 상임위원장 단독 선출을 강행하면서 21대 국회가 임기 시작 보름 만에 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=020&aid=0003292087
351,,CHINA HONG KONG RALLY,1시간전,Mourning for ?Raincoat Man? Pro-democracy activists take part in a mour …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=091&aid=0008067982
352,,상임위원장 선출 일사천리…위력 과시한 슈퍼여당,1시간전,주호영 발언에 초선 대변인이 반박 나서기도 (서울=연합뉴스) 이보배 강민경 이동환 이은정 기자 = 21대 국회 전반기 원 구성을 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=001&aid=0011680075
353,,[이슈] 나이언틱 '포켓몬GO' 통해 지역 비즈니스 재건 나선다,1시간전,나이언틱은 리얼 월드 게임 '포켓몬GO(Pok?mon GO)'의 여름 이벤트 '포켓몬GO 페스트 2020'을 오는 7월 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=347&aid=0000143948
354,,해변 텐트서 10여명 ‘다닥다닥’ 고기 굽기와 술판… ‘코로나 비상’ 남의 일? [김기자의 현장+],1시간전,고성군 한 해변 캠핑장 야영객들로 북적거려 / ‘취사 및 야영 금지’ 대형 현수막 뒤에서 버젓이 캠핑… 생활 속 거리 두기 ‘무 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=022&aid=0003475087
355,,"문대통령 '공감' 화법으로 김정은에 '손짓'…""절실함 반영""",1시간전,"[CBS노컷뉴스 조은정 기자] ""나는 한반도 정세를 획기적으로 전환하고자 했던 김정은 위원장의 결단과 노력을 잘 알고 있습니다. …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=079&aid=0003372334
356,,AI 국제협의체 'GPAI' 창립…한국·미국 등 15개국 참여,1시간전,[CBS노컷뉴스 김선경 기자] 과학기술정보통신부는 책임성 있는 인공지능(AI)의 발전과 활용을 촉진하기 위한 첫 국제협의체인 ' …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=079&aid=0003372333
357,,"北 비핵화 의지 있나… ""핵탄두 30∼40개 추정""",1시간전,"김정은, 최근 당 군사위 주재한 자리서 ""핵무기 억제력"" 강조 스웨덴의 권위있는 안보 관련 싱크탱크가 북한이 올해 1월 기준으로 …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=022&aid=0003475086
358,,글로벌 AI협의체 ‘GPAI’ 창립…코로나19  극복 방법 연구,1시간전,[헤럴드경제=정태일 기자]과학기술정보통신부는 ‘AI(인공지능) 글로벌 파트너십(GPAI)’ 협의체가 공식 창립됐다고 15일 밝혔 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=016&aid=0001686671
359,,“상생이 최고의 경쟁” 손잡은 화학 라이벌,1시간전,"[경향신문] 한화, 운휴 중인 생산설비 재가동 연간 45만톤 규모 제품 공급 예정 롯데는 PTA 생산 중단하는 대신 고부가가치  …",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=032&aid=0003015036
360,,"나이언틱, 내달 25일 온라인 이벤트 ‘포켓몬고 페스트 2020’ 개최",1시간전,티켓 수익금 기부 예정…매년 신작 타이틀도 2종 출시 나이언틱은 오는 7월 25일부터 26일까지 양일간 글로벌 이벤트 ‘포켓몬고 …,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=009&aid=0004595831
